Id,Text
44,"As an OlderPerson, I want to use ALFRED to turn on/off the lights. "
45,"As an OlderPerson, I want to use ALFRED to control the heating. "
46,"As an OlderPerson, I want to use ALFRED to control the TV and radio. "
47,"As an OlderPerson, I want to use ALFRED to watch movies. "
48,"As an OlderPerson, I want to use ALFRED to hear about the news. "
49,"As an OlderPerson, I want to use ALFRED to contact help in case of an emergency. "
50,"As a MedicalCaregiver, I want to use video calls in case of emergency. "
51,"As an OlderPerson, I want to have ALFRED contact the nearest caregiver when I ask ALFRED for urgent help. "
52,"As an OlderPerson, I want to receive a message when my home care nurse is on her way. "
53,"As an OlderPerson, I want to receive a medicine reminder from ALFRED. "
54,"As an OlderPerson, I want to be able to see whether I already have taken my pills, so that I can avoid an overdose. "
55,"As a MedicalCaregiver, I want to be able to see if the patient has taken her medicine. "
56,"As an OlderPerson, I want to use ALFRED to do my grocery shopping. "
57,"As an OlderPerson, I want to use ALFRED to send messages. "
58,"As an OlderPerson, I want to have ALFRED to detect falls and send an emergency to a specific contact. "
59,"As an OlderPerson, I want to have ALFRED to suggest healthy recipes. "
60,"As an OlderPerson, I want to have ALFRED ask spontaneous questions but it would be better to programme it during certain times of the day. "
61,"As an OlderPerson, I want to have ALFRED to initiate questions, but it should be in the domains of my interest such as cinema, exhibitions, cooking. "
62,"As an OlderPerson, I want to be able to call someone with ALFRED. "
63,"As an OlderPerson, I want to activate the vocal interaction mode of ALFRED by pushing a specific button. "
64,"As an OlderPerson, I want to use ALFRED to maintain my contact list in my phone. "
65,"As an OlderPerson, I want to use ALFRED to manage my agenda. "
66,"As an OlderPerson, I want to insert my meetings into ALFRED using speech. "
67,"As an OlderPerson, I want to receive reminders on my appointments. "
68,"As an OlderPerson, I want to receive a reminder from ALFRED on all the things I need to bring with me when I leave the house. "
69,"As a SocialCaregiver, I want ALFRED to remind me of the things I need to bring to the person I care for. "
70,"As an OlderPerson, I want to use ALFRED to set up social groups of people with similar diseases. "
71,"As an OlderPerson, I want to use ALFRED to contact people from my own circle. "
72,"As an OlderPerson, I want to use ALFRED to learn about art expositions or a museum. "
73,"As an OlderPerson, I want to use ALFRED to learn about all the social activities that are organized in my neighborhood. "
74,"As an OlderPerson, I want to use ALFRED to get a personalized invitation to a social event, so that it motivates more to go. "
75,"As an OlderPerson, I want to use ALFRED to navigate to an event or concert and help me when I am lost. "
76,"As an OlderPerson, I want to use ALFRED to help me navigate despite my mild cognitive impairments. "
77,"As an OlderPerson, I want to be able to pay for small amounts. "
78,"As an OlderPerson, I want to use ALFRED to organize a meeting with a group of friends at a certain place. "
79,"As an OlderPerson, I want to play online games together with other users. "
80,"As an OlderPerson, I want to get suggestions for sports classes in my neighbourhood. "
81,"As an OlderPerson, I want to have ALFRED to enable me to have face to face contacts as well, so that I do not just have virtual contacts over ALFRED. "
82,"As an OlderPerson, I want to help me to control my body weight. "
83,"As an OlderPerson, I want to just press one button to call my caregiver. "
84,"As an OlderPerson, I want to decide who has access to my vital data. "
85,"As a MedicalCaregiver, I want to be sure that the user can decide who has access to her data. "
86,"As an OlderPerson, I want to have the wearables with integrated sensors to look good and not to be stigmatizing. "
87,"As an OlderPerson, I want to see my vital parameters myself on the phone. "
88,"As an OlderPerson, I want to have the ALFRED shirt to look good. "
89,"As an OlderPerson, I want to have the ALFRED shirt has to be non stigmatizing. "
90,"As a MedicalCaregiver, I want to have ALFRED to be able to determine the user's blood pressure. "
91,"As a MedicalCaregiver, I want to have ALFRED to be able to determine the user's body temperature. "
92,"As a MedicalCaregiver, I want to have ALFRED to be able to determine the user's heart rate. "
93,"As a MedicalCaregiver, I want to have ALFRED to be able to determine the user's breathing frequency. "
94,"As a MedicalCaregiver, I want to have feedback on the activity level of the user. "
95,"As a MedicalCaregiver, I want to locate the ALFRED user. "
96,"As a SocialCaregiver, I want to have ALFRED to be able to recognize pain and or stress by using skin conduction sensors. "
97,"As a SocialCaregiver, I want to have a step counter included into ALFRED. "
98,"As an OlderPerson, I want to have ALFRED to give me goals and missions that encourage me to do new activities and exercises and to go out. "
99,"As an OlderPerson, I want to have ALFRED to set limits in the games duration as I get bored easily. "
100,"As an OlderPerson, I want to play games where I can use my Imagination. "
101,"As an OlderPerson, I want to do guided exercises with ALFRED and ALFRED should also use sensors to capture health data while I am doing exercises. "
102,"As an OlderPerson, I want to have games that include my favourite sports. "
103,"As an OlderPerson, I want to receive suggestions about local sport Classes. "
104,"As an OlderPerson, I want to have ALFRED to remind me to keep a good body posture. "
105,"As a MedicalCaregiver, I want to have ALFRED to remind people to exercise regularly. "
106,"As an OlderPerson, I want to receive specific tips how to reduce my health impairments without medication. "
107,"As an OlderPerson, I want to have some games that show me how good my memory and physical health is. "
108,"As an OlderPerson, I want to have training for specific muscle Groups. "
109,"As a MedicalCaregiver, I want to have ALFRED to offer training for specific muscle groups. "
110,"As an OlderPerson, I want to be able to see my training Performance. "
111,"As an OlderPerson, I want to have ALFRED to help to motivate me during the week to do exercise that should change daily, as the constant change motivates me. "
112,"As a MedicalCaregiver, I want to have ALFRED to propose me games that require the combination of mental and physical exercise, such as opposing motion exercises of the arms and legs. "
113,"As an OlderPerson, I want to games that require the combination of mental and physical exercise, such as opposing motion exercises of the arms and legs. "
114,"As a MedicalCaregiver, I want to control if the user does the exercise correct. "
115,"As a MedicalCaregiver, I want to have a regular summary on how much exercise is performed by the user. "
116,"As an InformalCaregiver, I want to have a game that the carer could play together with the user, so that it would enable to monitor the users’ state of health but also have some fun time. "
117,"As a MedicalCaregiver, I want to have ALFRED to propose training that promotes complex thinking. "
118,"As a MedicalCaregiver, I want to give corrective feedback if exercises are performed wrong, too much or in any other way harmful to the user. "
119,"As a developer, I want to present my app to as many people as Possible. "
120,"As a developer, I want to have the accounting to be as simple and clear as Possible. "
121,"As a developer, I want to easily create and to maintain my apps within the market place. "
122,"As a developer, I want to enable customers to provide feedback about my App and need an easy way to watch this feedback. "
123,"As a developer, I want to have an easy way to manage the pricing modality of my Apps. "
124,"As a developer, I want to have the API to be well defined and well documented. "
125,"As a developer, I want to obtain Apps development support. "
126,"As a developer, I want to know the fees the provider of the market place charges for using the platform. "
127,"As a developer, I want to be notified as soon as possible when the state of any of my Apps changes. "
128,"As a developer, I want to have detailed information of what happened when my App crashes on the user’s device. "
129,"As a developer, I want to present my App in several ways. "
130,"As a developer, I want to be able to design my App on my own - though there will be a few rules I have to stand to. "
131,"As a developer, I want to have an easy way to define questions the user can ask and perform. "
132,"As a developer, I want to have my App to be granted access to several operating system features. "
133,"As a developer, I want to have the API components to be on a high level so that I don’t have to deal with their details. "
134,"As a developer, I want to have an easy way to read data from health sensors the user is wearing. "
135,"As a serious games developer, I want to be able to take control over some functions to provide the desired user experience. "
136,"As a developer, I want to provide an easy way to manage the user Settings. "
137,"As a developer, I want to have the ALFRED API to reduce the work to achieve my goals. "
138,"As a developer, I want to have the ALFRED API to reduce the work to achieve my goals."
139,
